======================================================
 量子ハンター (永続キャッシュ・等差アクセル総力戦仕様) Step: 0.01
 Device: cuda | Seed: 42 | Base LR: 1e-05
======================================================

Epoch    1 | Cost: 2.280612 | Acc: 37.78% (Best: 37.78% @ Ep1) | LR: 0.000010 | Rev: 0/99999
Epoch    2 | Cost: 2.230297 | Acc: 48.33% (Best: 48.33% @ Ep2) | LR: 0.000010 | Rev: 0/99999
Epoch    3 | Cost: 2.189783 | Acc: 49.72% (Best: 49.72% @ Ep3) | LR: 0.000010 | Rev: 0/99999
Epoch    4 | Cost: 2.146643 | Acc: 51.39% (Best: 51.39% @ Ep4) | LR: 0.000010 | Rev: 0/99999
Epoch    5 | Cost: 2.104663 | Acc: 51.39% (Best: 51.39% @ Ep4) | LR: 0.000010 | Rev: 0/99999
Epoch    6 | Cost: 2.065773 | Acc: 54.72% (Best: 54.72% @ Ep6) | LR: 0.000010 | Rev: 0/99999
Epoch    7 | Cost: 2.029368 | Acc: 54.44% (Best: 54.72% @ Ep6) | LR: 0.000010 | Rev: 0/99999
Epoch    8 | Cost: 1.999481 | Acc: 53.61% (Best: 54.72% @ Ep6) | LR: 0.000010 | Rev: 0/99999
Epoch    9 | Cost: 1.968578 | Acc: 53.61% (Best: 54.72% @ Ep6) | LR: 0.000010 | Rev: 0/99999
Epoch   10 | Cost: 1.935090 | Acc: 55.28% (Best: 55.28% @ Ep10) | LR: 0.000010 | Rev: 0/99999
Epoch   11 | Cost: 1.901631 | Acc: 55.00% (Best: 55.28% @ Ep10) | LR: 0.000010 | Rev: 0/99999
Epoch   12 | Cost: 1.872065 | Acc: 55.56% (Best: 55.56% @ Ep12) | LR: 0.000010 | Rev: 0/99999
Epoch   13 | Cost: 1.860012 | Acc: 56.39% (Best: 56.39% @ Ep13) | LR: 0.000010 | Rev: 0/99999
Epoch   14 | Cost: 1.828434 | Acc: 56.94% (Best: 56.94% @ Ep14) | LR: 0.000010 | Rev: 0/99999
Epoch   15 | Cost: 1.801622 | Acc: 58.33% (Best: 58.33% @ Ep15) | LR: 0.000010 | Rev: 0/99999
Epoch   16 | Cost: 1.774952 | Acc: 58.33% (Best: 58.33% @ Ep15) | LR: 0.000010 | Rev: 0/99999
Epoch   17 | Cost: 1.754585 | Acc: 58.61% (Best: 58.61% @ Ep17) | LR: 0.000010 | Rev: 0/99999
Epoch   18 | Cost: 1.728591 | Acc: 57.78% (Best: 58.61% @ Ep17) | LR: 0.000010 | Rev: 0/99999
Epoch   19 | Cost: 1.714852 | Acc: 57.78% (Best: 58.61% @ Ep17) | LR: 0.000010 | Rev: 0/99999
Epoch   20 | Cost: 1.688502 | Acc: 58.33% (Best: 58.61% @ Ep17) | LR: 0.000010 | Rev: 0/99999
Epoch   21 | Cost: 1.677304 | Acc: 58.33% (Best: 58.61% @ Ep17) | LR: 0.000010 | Rev: 0/99999
Epoch   22 | Cost: 1.651469 | Acc: 58.89% (Best: 58.89% @ Ep22) | LR: 0.000010 | Rev: 0/99999
Epoch   23 | Cost: 1.646488 | Acc: 58.61% (Best: 58.89% @ Ep22) | LR: 0.000010 | Rev: 0/99999
Epoch   24 | Cost: 1.617270 | Acc: 59.44% (Best: 59.44% @ Ep24) | LR: 0.000010 | Rev: 0/99999
Epoch   25 | Cost: 1.606900 | Acc: 59.44% (Best: 59.44% @ Ep24) | LR: 0.000010 | Rev: 0/99999
Epoch   26 | Cost: 1.591622 | Acc: 60.28% (Best: 60.28% @ Ep26) | LR: 0.000010 | Rev: 0/99999
Epoch   27 | Cost: 1.573772 | Acc: 60.28% (Best: 60.28% @ Ep26) | LR: 0.000010 | Rev: 0/99999
Epoch   28 | Cost: 1.568752 | Acc: 60.28% (Best: 60.28% @ Ep26) | LR: 0.000010 | Rev: 0/99999
Epoch   29 | Cost: 1.532913 | Acc: 60.56% (Best: 60.56% @ Ep29) | LR: 0.000010 | Rev: 0/99999
Epoch   30 | Cost: 1.538760 | Acc: 61.11% (Best: 61.11% @ Ep30) | LR: 0.000010 | Rev: 1/99999
Epoch   31 | Cost: 1.514114 | Acc: 61.39% (Best: 61.39% @ Ep31) | LR: 0.000010 | Rev: 0/99999
Epoch   32 | Cost: 1.519505 | Acc: 61.11% (Best: 61.39% @ Ep31) | LR: 0.000010 | Rev: 1/99999
Epoch   33 | Cost: 1.482756 | Acc: 61.39% (Best: 61.39% @ Ep31) | LR: 0.000010 | Rev: 0/99999
Epoch   34 | Cost: 1.484315 | Acc: 61.67% (Best: 61.67% @ Ep34) | LR: 0.000010 | Rev: 1/99999
Epoch   35 | Cost: 1.468407 | Acc: 61.11% (Best: 61.67% @ Ep34) | LR: 0.000010 | Rev: 0/99999
Epoch   36 | Cost: 1.469371 | Acc: 61.67% (Best: 61.67% @ Ep34) | LR: 0.000010 | Rev: 1/99999
Epoch   37 | Cost: 1.469386 | Acc: 61.94% (Best: 61.94% @ Ep37) | LR: 0.000010 | Rev: 2/99999
Epoch   38 | Cost: 1.437390 | Acc: 62.22% (Best: 62.22% @ Ep38) | LR: 0.000010 | Rev: 0/99999
Epoch   39 | Cost: 1.420938 | Acc: 61.94% (Best: 62.22% @ Ep38) | LR: 0.000010 | Rev: 0/99999
Epoch   40 | Cost: 1.426658 | Acc: 61.67% (Best: 62.22% @ Ep38) | LR: 0.000010 | Rev: 1/99999
Epoch   41 | Cost: 1.432366 | Acc: 61.67% (Best: 62.22% @ Ep38) | LR: 0.000010 | Rev: 2/99999
Epoch   42 | Cost: 1.413617 | Acc: 61.94% (Best: 62.22% @ Ep38) | LR: 0.000010 | Rev: 0/99999
Epoch   43 | Cost: 1.379365 | Acc: 61.94% (Best: 62.22% @ Ep38) | LR: 0.000010 | Rev: 0/99999
Epoch   44 | Cost: 1.387850 | Acc: 61.94% (Best: 62.22% @ Ep38) | LR: 0.000010 | Rev: 1/99999
