======================================================
 量子ハンター (完全PyTorch統合版) Step: 0.01
 Device: cuda | Seed: 42
======================================================

Epoch   1 | Cost: 3.181477 | Acc: 16.00% (Best: 16.00% @ Ep1) | Rev: 0/10
Epoch   2 | Cost: 2.273702 | Acc: 22.00% (Best: 22.00% @ Ep2) | Rev: 0/10
Epoch   3 | Cost: 2.036321 | Acc: 26.67% (Best: 26.67% @ Ep3) | Rev: 0/10
Epoch   4 | Cost: 1.885474 | Acc: 29.67% (Best: 29.67% @ Ep4) | Rev: 0/10
Epoch   5 | Cost: 1.807487 | Acc: 30.67% (Best: 30.67% @ Ep5) | Rev: 0/10
Epoch   6 | Cost: 1.759342 | Acc: 32.33% (Best: 32.33% @ Ep6) | Rev: 0/10
Epoch   7 | Cost: 1.711621 | Acc: 31.67% (Best: 32.33% @ Ep6) | Rev: 0/10
Epoch   8 | Cost: 1.683018 | Acc: 30.33% (Best: 32.33% @ Ep6) | Rev: 0/10
Epoch   9 | Cost: 1.655477 | Acc: 30.67% (Best: 32.33% @ Ep6) | Rev: 0/10
Epoch  10 | Cost: 1.621671 | Acc: 31.67% (Best: 32.33% @ Ep6) | Rev: 0/10
Epoch  11 | Cost: 1.586155 | Acc: 33.67% (Best: 33.67% @ Ep11) | Rev: 0/10
Epoch  12 | Cost: 1.558201 | Acc: 34.33% (Best: 34.33% @ Ep12) | Rev: 0/10
Epoch  13 | Cost: 1.529688 | Acc: 36.67% (Best: 36.67% @ Ep13) | Rev: 0/10
Epoch  14 | Cost: 1.515069 | Acc: 37.67% (Best: 37.67% @ Ep14) | Rev: 0/10
Epoch  15 | Cost: 1.512698 | Acc: 38.33% (Best: 38.33% @ Ep15) | Rev: 0/10
Epoch  16 | Cost: 1.515199 | Acc: 40.00% (Best: 40.00% @ Ep16) | Rev: 1/10
Epoch  17 | Cost: 1.531487 | Acc: 38.67% (Best: 40.00% @ Ep16) | Rev: 2/10
Epoch  18 | Cost: 1.539515 | Acc: 39.33% (Best: 40.00% @ Ep16) | Rev: 3/10
Epoch  19 | Cost: 1.555700 | Acc: 41.00% (Best: 41.00% @ Ep19) | Rev: 4/10
Epoch  20 | Cost: 1.551328 | Acc: 38.67% (Best: 41.00% @ Ep19) | Rev: 0/10
Epoch  21 | Cost: 1.533371 | Acc: 37.00% (Best: 41.00% @ Ep19) | Rev: 0/10
