======================================================
 量子ハンター (完全PyTorch統合版) Step: 0.01
 Device: cuda | Seed: 42
======================================================

Epoch    1 | Cost: 2.265023 | Acc: 23.00% (Best: 23.00% @ Ep1) | Rev: 0/10
Epoch    2 | Cost: 2.071171 | Acc: 26.67% (Best: 26.67% @ Ep2) | Rev: 0/10
Epoch    3 | Cost: 2.056781 | Acc: 24.00% (Best: 26.67% @ Ep2) | Rev: 0/10
Epoch    4 | Cost: 2.047562 | Acc: 24.67% (Best: 26.67% @ Ep2) | Rev: 0/10
Epoch    5 | Cost: 2.034624 | Acc: 23.00% (Best: 26.67% @ Ep2) | Rev: 0/10
Epoch    6 | Cost: 2.007077 | Acc: 23.33% (Best: 26.67% @ Ep2) | Rev: 0/10
Epoch    7 | Cost: 1.982175 | Acc: 23.33% (Best: 26.67% @ Ep2) | Rev: 0/10
Epoch    8 | Cost: 1.957368 | Acc: 24.33% (Best: 26.67% @ Ep2) | Rev: 0/10
Epoch    9 | Cost: 1.928931 | Acc: 31.00% (Best: 31.00% @ Ep9) | Rev: 0/10
Epoch   10 | Cost: 1.885867 | Acc: 30.33% (Best: 31.00% @ Ep9) | Rev: 0/10
Epoch   11 | Cost: 1.878889 | Acc: 31.33% (Best: 31.33% @ Ep11) | Rev: 0/10
Epoch   12 | Cost: 1.864827 | Acc: 32.67% (Best: 32.67% @ Ep12) | Rev: 0/10
Epoch   13 | Cost: 1.853272 | Acc: 32.00% (Best: 32.67% @ Ep12) | Rev: 0/10
Epoch   14 | Cost: 1.839318 | Acc: 32.33% (Best: 32.67% @ Ep12) | Rev: 0/10
Epoch   15 | Cost: 1.826422 | Acc: 32.33% (Best: 32.67% @ Ep12) | Rev: 0/10
Epoch   16 | Cost: 1.817531 | Acc: 33.00% (Best: 33.00% @ Ep16) | Rev: 0/10
Epoch   17 | Cost: 1.807122 | Acc: 33.00% (Best: 33.00% @ Ep16) | Rev: 0/10
Epoch   18 | Cost: 1.797717 | Acc: 33.67% (Best: 33.67% @ Ep18) | Rev: 0/10
Epoch   19 | Cost: 1.784899 | Acc: 34.00% (Best: 34.00% @ Ep19) | Rev: 0/10
Epoch   20 | Cost: 1.772595 | Acc: 34.33% (Best: 34.33% @ Ep20) | Rev: 0/10
Epoch   21 | Cost: 1.772834 | Acc: 34.67% (Best: 34.67% @ Ep21) | Rev: 1/10
Epoch   22 | Cost: 1.754670 | Acc: 36.67% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   23 | Cost: 1.736780 | Acc: 36.67% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   24 | Cost: 1.741409 | Acc: 36.33% (Best: 36.67% @ Ep22) | Rev: 1/10
Epoch   25 | Cost: 1.714536 | Acc: 36.67% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   26 | Cost: 1.725987 | Acc: 36.00% (Best: 36.67% @ Ep22) | Rev: 1/10
Epoch   27 | Cost: 1.705117 | Acc: 35.67% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   28 | Cost: 1.703450 | Acc: 35.67% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   29 | Cost: 1.695021 | Acc: 35.33% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   30 | Cost: 1.690426 | Acc: 35.67% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   31 | Cost: 1.676147 | Acc: 35.00% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   32 | Cost: 1.679766 | Acc: 35.00% (Best: 36.67% @ Ep22) | Rev: 1/10
Epoch   33 | Cost: 1.674441 | Acc: 34.67% (Best: 36.67% @ Ep22) | Rev: 0/10
Epoch   34 | Cost: 1.672152 | Acc: 35.00% (Best: 36.67% @ Ep22) | Rev: 0/10
