======================================================
 量子ハンター (完全PyTorch統合版) Step: 0.01
 Device: cuda
======================================================

Epoch   1 | Cost: 2.292152 | Acc: 19.67% (Best: 19.67% @ Ep1) | Rev: 0/10
Epoch   2 | Cost: 2.252528 | Acc: 26.33% (Best: 26.33% @ Ep2) | Rev: 0/10
Epoch   3 | Cost: 2.198778 | Acc: 29.67% (Best: 29.67% @ Ep3) | Rev: 0/10
Epoch   4 | Cost: 2.133990 | Acc: 28.67% (Best: 29.67% @ Ep3) | Rev: 0/10
Epoch   5 | Cost: 2.066014 | Acc: 28.00% (Best: 29.67% @ Ep3) | Rev: 0/10
Epoch   6 | Cost: 2.001921 | Acc: 30.33% (Best: 30.33% @ Ep6) | Rev: 0/10
Epoch   7 | Cost: 1.944980 | Acc: 29.67% (Best: 30.33% @ Ep6) | Rev: 0/10
Epoch   8 | Cost: 1.893466 | Acc: 30.33% (Best: 30.33% @ Ep6) | Rev: 0/10
Epoch   9 | Cost: 1.847285 | Acc: 30.00% (Best: 30.33% @ Ep6) | Rev: 0/10
Epoch  10 | Cost: 1.807177 | Acc: 30.33% (Best: 30.33% @ Ep6) | Rev: 0/10
Epoch  11 | Cost: 1.772361 | Acc: 32.67% (Best: 32.67% @ Ep11) | Rev: 0/10
Epoch  12 | Cost: 1.743759 | Acc: 31.67% (Best: 32.67% @ Ep11) | Rev: 0/10
Epoch  13 | Cost: 1.720405 | Acc: 32.67% (Best: 32.67% @ Ep11) | Rev: 0/10
Epoch  14 | Cost: 1.700028 | Acc: 34.00% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  15 | Cost: 1.681903 | Acc: 33.67% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  16 | Cost: 1.667104 | Acc: 33.33% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  17 | Cost: 1.654177 | Acc: 33.67% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  18 | Cost: 1.642553 | Acc: 34.00% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  19 | Cost: 1.628819 | Acc: 32.67% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  20 | Cost: 1.618948 | Acc: 30.67% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  21 | Cost: 1.608758 | Acc: 31.33% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  22 | Cost: 1.599994 | Acc: 30.67% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  23 | Cost: 1.591854 | Acc: 30.00% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  24 | Cost: 1.583746 | Acc: 30.33% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  25 | Cost: 1.575496 | Acc: 29.67% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  26 | Cost: 1.567332 | Acc: 30.67% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  27 | Cost: 1.559502 | Acc: 31.33% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  28 | Cost: 1.550454 | Acc: 32.67% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  29 | Cost: 1.541191 | Acc: 32.33% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  30 | Cost: 1.531811 | Acc: 33.67% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  31 | Cost: 1.525072 | Acc: 33.33% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  32 | Cost: 1.516265 | Acc: 33.33% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  33 | Cost: 1.509080 | Acc: 33.33% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  34 | Cost: 1.502102 | Acc: 33.67% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  35 | Cost: 1.494427 | Acc: 33.00% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  36 | Cost: 1.487583 | Acc: 33.67% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  37 | Cost: 1.480827 | Acc: 34.00% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  38 | Cost: 1.475477 | Acc: 34.00% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  39 | Cost: 1.469304 | Acc: 33.67% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  40 | Cost: 1.462971 | Acc: 34.00% (Best: 34.00% @ Ep14) | Rev: 0/10
Epoch  41 | Cost: 1.457196 | Acc: 34.33% (Best: 34.33% @ Ep41) | Rev: 0/10
Epoch  42 | Cost: 1.452741 | Acc: 34.00% (Best: 34.33% @ Ep41) | Rev: 0/10
Epoch  43 | Cost: 1.445257 | Acc: 34.67% (Best: 34.67% @ Ep43) | Rev: 0/10
Epoch  44 | Cost: 1.442477 | Acc: 34.67% (Best: 34.67% @ Ep43) | Rev: 0/10
Epoch  45 | Cost: 1.436937 | Acc: 35.33% (Best: 35.33% @ Ep45) | Rev: 0/10
Epoch  46 | Cost: 1.433426 | Acc: 36.67% (Best: 36.67% @ Ep46) | Rev: 0/10
