======================================================
 量子ハンター (永続キャッシュ・等差アクセル総力戦仕様) Step: 0.01
 Device: cuda | Seed: 42 | Base LR: 1e-05
======================================================

Epoch    1 | Cost: 2.303704 | Acc: 11.39% (Best: 11.39% @ Ep1) | LR: 0.000010 | Rev: 0/99999
Epoch    2 | Cost: 2.301870 | Acc: 11.67% (Best: 11.67% @ Ep2) | LR: 0.000010 | Rev: 0/99999
Epoch    3 | Cost: 2.302572 | Acc: 11.94% (Best: 11.94% @ Ep3) | LR: 0.000010 | Rev: 1/99999
Epoch    4 | Cost: 2.301123 | Acc: 13.06% (Best: 13.06% @ Ep4) | LR: 0.000010 | Rev: 0/99999
Epoch    5 | Cost: 2.299265 | Acc: 15.00% (Best: 15.00% @ Ep5) | LR: 0.000010 | Rev: 0/99999
Epoch    6 | Cost: 2.299004 | Acc: 16.39% (Best: 16.39% @ Ep6) | LR: 0.000010 | Rev: 0/99999
Epoch    7 | Cost: 2.298492 | Acc: 17.22% (Best: 17.22% @ Ep7) | LR: 0.000010 | Rev: 0/99999
Epoch    8 | Cost: 2.296203 | Acc: 18.33% (Best: 18.33% @ Ep8) | LR: 0.000010 | Rev: 0/99999
Epoch    9 | Cost: 2.295870 | Acc: 19.72% (Best: 19.72% @ Ep9) | LR: 0.000010 | Rev: 0/99999
Epoch   10 | Cost: 2.296623 | Acc: 20.56% (Best: 20.56% @ Ep10) | LR: 0.000010 | Rev: 1/99999
Epoch   11 | Cost: 2.293957 | Acc: 22.22% (Best: 22.22% @ Ep11) | LR: 0.000010 | Rev: 0/99999
Epoch   12 | Cost: 2.290788 | Acc: 22.78% (Best: 22.78% @ Ep12) | LR: 0.000010 | Rev: 0/99999
Epoch   13 | Cost: 2.291163 | Acc: 23.33% (Best: 23.33% @ Ep13) | LR: 0.000010 | Rev: 1/99999
Epoch   14 | Cost: 2.290502 | Acc: 24.17% (Best: 24.17% @ Ep14) | LR: 0.000010 | Rev: 0/99999
Epoch   15 | Cost: 2.289025 | Acc: 25.00% (Best: 25.00% @ Ep15) | LR: 0.000010 | Rev: 0/99999
Epoch   16 | Cost: 2.288927 | Acc: 25.00% (Best: 25.00% @ Ep15) | LR: 0.000010 | Rev: 0/99999
Epoch   17 | Cost: 2.287534 | Acc: 25.28% (Best: 25.28% @ Ep17) | LR: 0.000010 | Rev: 0/99999
Epoch   18 | Cost: 2.286710 | Acc: 26.39% (Best: 26.39% @ Ep18) | LR: 0.000010 | Rev: 0/99999
Epoch   19 | Cost: 2.286054 | Acc: 26.94% (Best: 26.94% @ Ep19) | LR: 0.000010 | Rev: 0/99999
Epoch   20 | Cost: 2.284870 | Acc: 27.50% (Best: 27.50% @ Ep20) | LR: 0.000010 | Rev: 0/99999
Epoch   21 | Cost: 2.283352 | Acc: 28.33% (Best: 28.33% @ Ep21) | LR: 0.000010 | Rev: 0/99999
Epoch   22 | Cost: 2.281523 | Acc: 29.72% (Best: 29.72% @ Ep22) | LR: 0.000010 | Rev: 0/99999
Epoch   23 | Cost: 2.281757 | Acc: 31.11% (Best: 31.11% @ Ep23) | LR: 0.000010 | Rev: 1/99999
Epoch   24 | Cost: 2.280780 | Acc: 31.39% (Best: 31.39% @ Ep24) | LR: 0.000010 | Rev: 0/99999
Epoch   25 | Cost: 2.280718 | Acc: 31.94% (Best: 31.94% @ Ep25) | LR: 0.000010 | Rev: 0/99999
Epoch   26 | Cost: 2.279118 | Acc: 31.67% (Best: 31.94% @ Ep25) | LR: 0.000010 | Rev: 0/99999
Epoch   27 | Cost: 2.275287 | Acc: 32.78% (Best: 32.78% @ Ep27) | LR: 0.000010 | Rev: 0/99999
Epoch   28 | Cost: 2.277611 | Acc: 33.61% (Best: 33.61% @ Ep28) | LR: 0.000010 | Rev: 1/99999
Epoch   29 | Cost: 2.275082 | Acc: 34.44% (Best: 34.44% @ Ep29) | LR: 0.000010 | Rev: 0/99999
