======================================================
 乳がん30次元対応(10Qubit拡張 / 16ノード) - 最終検証版
 担当粒度 (Step Size) : 1e-14
======================================================

Epoch   5 | Cost: 0.235476 | Acc: 69.82% (Best: 69.82% @ Ep5) | Stag: 0/3
Epoch  10 | Cost: 0.180674 | Acc: 79.29% (Best: 79.29% @ Ep10) | Stag: 0/3
Epoch  15 | Cost: 0.149313 | Acc: 75.15% (Best: 79.29% @ Ep10) | Stag: 1/3
Epoch  20 | Cost: 0.126541 | Acc: 81.07% (Best: 81.07% @ Ep20) | Stag: 0/3
Epoch  25 | Cost: 0.105698 | Acc: 78.11% (Best: 81.07% @ Ep20) | Stag: 1/3
Epoch  30 | Cost: 0.098022 | Acc: 86.98% (Best: 86.98% @ Ep30) | Stag: 0/3
Epoch  35 | Cost: 0.090940 | Acc: 87.57% (Best: 87.57% @ Ep35) | Stag: 0/3
Epoch  40 | Cost: 0.085624 | Acc: 88.76% (Best: 88.76% @ Ep40) | Stag: 0/3
Epoch  45 | Cost: 0.081691 | Acc: 88.17% (Best: 88.76% @ Ep40) | Stag: 1/3
Epoch  50 | Cost: 0.078143 | Acc: 87.57% (Best: 88.76% @ Ep40) | Stag: 2/3
Epoch  55 | Cost: 0.075312 | Acc: 87.57% (Best: 88.76% @ Ep40) | Stag: 3/3

=> ⚠️ [KILL] Test Acc が 3回連続で最高値を更新せず。過学習と判断し自動停止。
