======================================================
  粒度 (Step Size): 0.1
  目標 Epoch     : 150
  開始時刻       : 2026-05-22 19:56:46
======================================================

Epoch  15 | Cost: 0.065550 | Q-Grad Norm: 0.03326205
Epoch  30 | Cost: 0.032106 | Q-Grad Norm: 0.02289450
Epoch  45 | Cost: 0.028672 | Q-Grad Norm: 0.01939315
Epoch  60 | Cost: 0.014853 | Q-Grad Norm: 0.01231704
Epoch  75 | Cost: 0.012932 | Q-Grad Norm: 0.01731894
Epoch  90 | Cost: 0.009717 | Q-Grad Norm: 0.01856559
Epoch 105 | Cost: 0.006863 | Q-Grad Norm: 0.01443654
Epoch 120 | Cost: 0.005406 | Q-Grad Norm: 0.01477949
Epoch 135 | Cost: 0.005771 | Q-Grad Norm: 0.01262373

=> ⚠️ [KILL] 成長の停滞(ウロウロ)を検知。終了。
